id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
15,"Tokyo Ghoul, tome 1",Sui Ishida,2723495612,(Tokyo Ghoul #1),4.42,224,69075,1527,Paperback,September 27th 2013,Éditions Glénat
16,172 Hours on the Moon,Johan Harstad,1907411518,,3.60,368,9931,2444,Paperback,April 5th 2012,Atom
17,The Croning,Laird Barron,1597802301,,3.73,245,2618,417,Hardcover,May 2012,Night Shade
18,The Store,Bentley Little,0451192192,,3.87,431,5894,309,Paperback,July 1st 1998,Signet
19,The Thing on the Doorstep and Other Weird Stories,H.P. Lovecraft,0142180033,,4.30,443,8493,160,Paperback,October 1st 2001,Penguin Classics
20,The Book of Lost Things,John Connolly,0743298853,,3.99,339,57877,7352,Hardcover,November 7th 2006,Atria Books
21,Creepshow,Stephen King,0452253802,,4.07,66,34886,296,Paperback,August 1st 1982,Plume
22,Books of Blood: Volume Three,Clive Barker,,(Books of Blood #3),4.18,258,10135,138,Mass Market Paperback,October 1986,Berkley Books
23,Living Dead in Dallas,Charlaine Harris,1841493007,(Sookie Stackhouse #2),3.98,291,220538,6735,Mass Market Paperback,April 1st 2004,Orbit
24,Geek Love,Katherine Dunn,0375713344,,3.95,348,51278,5536,Paperback,June 11th 2002,Random House Vintage
25,"Outcast, Vol. 1: A Darkness Surrounds Him",Robert Kirkman,1632150530,(Outcast #1-6),3.85,152,6853,807,Paperback,January 15th 2015,Image Comics
26,Lair,James Herbert,0330376195,(Rats #2),3.92,272,5548,191,Paperback,November 1st 1999,Pan Macmillan
27,The Dark,James Herbert,0330376209,,3.85,439,5697,176,Paperback,April 1st 1999,Pan Macmillan
28,Dead and Alive,Dean Koontz,0007203116,(Dean Koontz's Frankenstein #3),4.01,400,22493,787,Paperback,July 28th 2009,HarperCollins Publishers Ltd
29,Last Days,Adam Nevill,1250018188,,3.80,531,3052,489,Paperback,February 26th 2013,St. Martin's Griffin
30,Sunshine,Robin McKinley,0515138819,,3.85,405,34349,4052,Mass Market Paperback,November 30th 2004,Jove
31,Petals on the Wind,V.C. Andrews,0671729470,(Dollanganger #2),3.82,439,49614,1945,Paperback,November 28th 1990,Pocket
32,"The Walking Dead, Vol. 16: A Larger World",Robert Kirkman,1607065592,(The Walking Dead (Collected Editions) #16),4.16,136,10586,506,Comics,June 19th 2012,Image Comics
33,Hollow City,Ransom Riggs,1594747350,(Miss Peregrine's Peculiar Children #2),4.08,428,167865,16284,Paperback,February 24th 2015,Quirk Books
34,Unwind,Neal Shusterman,1416912045,(Unwind Dystology #1),4.18,335,175373,17577,Hardcover,November 6th 2007,Simon & Schuster Books for Young Readers
35,Necroscope III: The Source,Brian Lumley,0812521277,(Necroscope #3),4.14,505,5705,106,Mass Market Paperback,September 15th 1989,Tor Books
36,Everville,Clive Barker,0060933151,(Book of the Art #2),4.03,697,9669,210,Paperback,November 3rd 1999,HarperPerennial
37,Sandman Slim,Richard Kadrey,0061714305,(Sandman Slim #1),3.94,388,31074,2760,Hardcover,July 21st 2009,Harper Voyager
38,American Elsewhere,Robert Jackson Bennett,0316200204,,3.77,662,4781,748,Paperback,February 12th 2013,Orbit
39,"The Walking Dead, Vol. 17: Something to Fear",Robert Kirkman,1607066157,(The Walking Dead (Collected Editions) #17),4.32,132,11918,872,Comics,November 21st 2012,Image Comics
40,UR,Stephen King,,,3.69,61,16110,1237,Kindle Edition,February 12th 2009,"Storyville, LLC"
41,The Night Gardener,Jonathan Auxier,141971144X,,4.06,350,13470,2378,Hardcover,May 20th 2014,Harry N. Abrams
42,Ten,Gretchen McNeil,0062118781,,3.69,296,10747,2260,Hardcover,September 18th 2012,Balzer + Bray
43,The Secret of Crickley Hall,James Herbert,1405005203,,3.90,600,6489,541,Hardcover,by MacMillan,
44,The Living Dead,John Joseph Adams,1597801437,(The Living Dead #1),3.85,504,8822,354,Paperback,September 1st 2008,Night Shade
45,The Rats in the Walls,H.P. Lovecraft,2266150227,,4.09,25,5726,273,Paperback,2005,Pocket
46,Brother,Ania Ahlborn,147678373X,,3.96,319,3083,701,Paperback,September 29th 2015,Gallery Books
47,Rebecca,Daphne du Maurier,0316323705,,4.22,449,390630,19469,ebook,December 17th 2013,"Little, Brown and Company"
48,Winter Moon,Dean Koontz,0553582933,,3.83,472,15443,381,Paperback,January 30th 2001,Bantam
49,Invasion of the Body Snatchers,Jack Finney,0684852586,,3.89,216,17913,751,Paperback,April 6th 1998,Atria Books
50,Day by Day Armageddon,J.L. Bourne,1411608313,(Day by Day Armageddon #1),4.00,260,15894,1027,Paperback,June 11th 2004,Lulu.com
51,The Little Stranger,Sarah Waters,,,3.53,512,38403,5521,Paperback,May 4th 2010,Riverhead Books
52,Deadline,Mira Grant,031608106X,(Newsflesh #2),4.10,584,22652,2180,Paperback,June 1st 2011,Orbit
53,Finders Keepers,Stephen King,1501100076,(Bill Hodges Trilogy #2),4.04,434,91737,8625,Hardcover,June 2nd 2015,Scribner
54,The Other,Thomas Tryon,0440167361,,4.00,281,18679,584,Mass Market Paperback,October 1st 1987,Dell
55,The Deep,Nick Cutter,1476717737,,3.37,394,8809,1621,Hardcover,January 13th 2015,Gallery Books
56,The Rats,James Herbert,0333761189,(Rats #1),3.94,208,15081,705,Hardcover,1999,Macmillan
57,Danse Macabre,Stephen King,042518160X,,3.63,400,23166,760,Paperback,September 1st 2001,Berkley
58,"The Walking Dead, Vol. 3: Safety Behind Bars",Robert Kirkman,1582404879,(The Walking Dead (Collected Editions) #3),4.31,136,28533,1176,Comics,June 18th 2005,Image Comics
59,Prodigal Son,Dean Koontz,141591561X,(Dean Koontz's Frankenstein #1),4.02,469,31980,1572,Audio Cassette,January 28th 2005,Books on Tape
60,Rot & Ruin,Jonathan Maberry,1442402326,(Rot & Ruin #1),4.10,458,31170,3559,Hardcover,September 14th 2010,Simon & Schuster Books For Young Readers
61,Lost Souls,Poppy Z. Brite,0440212812,,3.89,355,15789,697,Paperback,September 10th 1993,Dell
62,The Case of Charles Dexter Ward,H.P. Lovecraft,0345354907,,4.18,127,13592,600,Paperback,April 19th 1994,Del Rey Books
63,Alpha & Omega,Joe Hill,1613778538,(Locke & Key #6),4.45,192,20655,1755,Hardcover,January 2014,IDW Publishing
64,The Bloody Chamber and Other Stories,Angela Carter,014017821X,,3.99,128,33188,2825,Paperback,1990,Penguin Books
65,Lightning,Dean Koontz,0425192032,,4.07,384,51563,1903,Mass Market Paperback,September 2nd 2003,Berkley
66,The Elementals,Michael McDowell,0380783606,,4.04,292,6075,861,Paperback,October 1st 1981,Avon Books
67,Gwendy's Button Box,Stephen King,1587676109,,3.90,171,33622,4141,Hardcover,May 16th 2017,Cemetery Dance Publications
68,The Stepford Wives,Ira Levin,0060080841,,3.75,144,25502,1912,Paperback,July 23rd 2002,Perennial
69,Taltos,Anne Rice,,(Lives of the Mayfair Witches #3),3.79,533,47306,661,Kindle Edition,November 17th 2010,Ballantine Books
70,The Thief of Always,Clive Barker,0060177241,,4.19,225,27555,1688,Hardcover,November 1992,HarperCollins Publishers
71,Patient Zero,Jonathan Maberry,0312382855,(Joe Ledger #1),3.99,421,24294,1966,Paperback,March 3rd 2009,St. Martin's Griffin
72,Forever Odd,Dean Koontz,0553588265,(Odd Thomas #2),3.97,364,65501,2630,Paperback,October 31st 2006,Bantam Books
73,Lord of the Flies,William Golding,0140283331,,3.67,182,1980604,32731,Paperback,October 1st 1999,Penguin Books
74,Guilty Pleasures,Laurell K. Hamilton,0425197549,"(Anita Blake, Vampire Hunter #1)",4.02,355,125723,5352,Paperback,August 3rd 2004,Berkley
75,This Book Is Full of Spiders,David  Wong,0312546343,(John Dies at the End #2),4.26,406,22428,2000,Hardcover,October 2nd 2012,St. Martin’s Press
76,Song of Kali,Dan Simmons,0575076593,,3.61,320,9506,737,Paperback,March 10th 2005,Gollancz
77,Darkly Dreaming Dexter,Jeff Lindsay,,(Dexter #1),3.90,288,172946,6142,Paperback,September 19th 2006,Vintage Books
78,"Uzumaki: Spiral into Horror, Vol. 1",Junji Ito,1569317143,(Uzumaki #1),4.31,208,12220,864,Paperback,October 6th 2001,Viz Media
79,The Grownup,Gillian Flynn,0804188971,,3.55,64,78697,9634,Hardcover,November 3rd 2015,Crown
80,The Butterfly Garden,Dot Hutchison,,(The Collector #1),4.06,288,96266,9008,Kindle Edition,June 1st 2016,Thomas & Mercer
81,Penpal,Dathan Auerbach,098554550X,,3.87,243,11984,1550,Paperback,June 2012,1000Vultures
82,Hannibal Rising,Thomas  Harris,0385339410,(Hannibal Lecter #4),3.48,432,30661,1553,Hardcover,December 5th 2006,Delacorte Press
83,Infected,Scott Sigler,0307406105,(Infected #1),3.84,342,18184,1585,Hardcover,April 1st 2008,Crown
84,The Fog,James Herbert,0330376152,,3.89,345,21962,367,Paperback,April 1st 1999,Macmillan UK
85,The Hunger,Alma Katsu,0735212511,,3.65,376,7448,1367,Hardcover,March 6th 2018,G.P. Putnam’s Sons
86,Necronomicon: The Best Weird Tales,H.P. Lovecraft,0575081562,,4.29,878,11078,465,Hardcover,March 27th 2008,"Gollancz, Great Britain"
87,A Living Nightmare,Darren Shan,0316905712,(Cirque du Freak #1),4.07,272,47528,3209,Mass Market Paperback,June 1st 2002,"Little, Brown Young Readers"
88,Pines,Blake Crouch,1612183956,(Wayward Pines #1),3.90,305,77475,6554,Paperback,August 21st 2012,Thomas & Mercer
89,The Taking,Dean Koontz,0553584502,,3.78,410,33970,1630,Mass Market Paperback,April 26th 2005,Bantam
90,The Keep,F. Paul Wilson,0765357054,(Adversary Cycle #1),3.99,403,16382,595,Paperback,August 1st 2006,Tor Books
91,Strangers,Dean Koontz,0425181111,,4.00,704,40220,690,Paperback,October 1st 2002,Berkley
92,The Willows,Algernon Blackwood,1587156520,,4.10,105,5979,566,Paperback,June 1st 2002,Borgo Press
93,"The Walking Dead, Vol. 4: The Heart's Desire",Robert Kirkman,1582405301,(The Walking Dead (Collected Editions) #4),4.22,136,25578,976,Comics,April 21st 2009,Image Comics
94,The Masque of the Red Death,Edgar Allan Poe,1594567395,(Izbrana dela #2),4.08,76,23691,818,Paperback,April 30th 2004,BookSurge Classics
95,The Bad Place,Dean R. Koontz,0425195481,,3.89,427,31174,637,Paperback,July 6th 2004,Berkley
96,The City of Mirrors,Justin Cronin,034550500X,(The Passage #3),4.20,602,40008,4544,Hardcover,May 24th 2016,Ballantine Books
97,Anno Dracula,Kim Newman,0857680838,(Anno Dracula #1),3.79,547,11413,1060,Paperback,May 24th 2011,Titan Books
98,Tick Tock,Dean Koontz,0345405137,,3.72,352,29731,961,Paperback,September 20th 1996,Random House
99,Midnight,Dean Koontz,0425194515,,3.82,496,22677,517,Paperback,February 3rd 2004,Berkley
100,Final Girls,Riley Sager,1101985364,,3.80,342,44289,6865,Hardcover,July 11th 2017,Dutton
101,False Memory,Dean Koontz,0553580221,,3.87,751,40599,1152,Paperback,November 28th 2000,Bantam Books
102,One Past Midnight: The Langoliers,Stephen King,0453007449,,3.87,9,30220,380,Audio Cassette,February 1st 1990,Penguin/HighBridge Audio
103,The Metamorphosis,Franz Kafka,,,3.80,201,528462,13980,Paperback,March 1st 1972,Bantam Classics
104,Maplecroft,Cherie Priest,0451466977,(The Borden Dispatches #1),3.59,435,4035,880,Paperback,September 2nd 2014,Roc
105,The Grip of It,Jac Jemc,0374536910,,3.26,276,4993,1021,Paperback,August 1st 2017,FSG
106,Zone One,Colson Whitehead,0385528078,,3.26,259,16202,2813,Hardcover,October 18th 2011,Doubleday
107,The House on the Borderland,William Hope Hodgson,1426438281,,3.66,156,5137,612,Paperback,May 29th 2008,BiblioLife
108,Disappearance at Devil's Rock,Paul Tremblay,0062363263,,3.59,327,7623,1204,Hardcover,June 21st 2016,William Morrow
109,Blackwood Farm,Anne Rice,0099446723,(The Vampire Chronicles #9),3.86,774,29216,712,Paperback,2003,arrow books
110,The Funhouse,Owen  West,0425142485,,3.60,333,19931,555,Paperback,June 1994,Berkley Books
111,"The Walking Dead, Vol. 8: Made to Suffer",Robert Kirkman,1582408831,(The Walking Dead (Collected Editions) #8),4.46,136,24194,856,Comics,June 25th 2008,Image Comics
112,"The Walking Dead, Vol. 7: The Calm Before",Robert Kirkman,1582408289,(The Walking Dead (Collected Editions) #7),4.27,136,19666,635,Comics,July 25th 2017,Image Comics
113,From Hell,Alan Moore,0861661419,(From Hell #1-11),4.16,576,30191,1518,Paperback,2007,Knockabout Comics
114,The October Country,Ray Bradbury,0380973871,,4.16,334,12084,837,Hardcover,September 7th 1999,William Morrow
115,The Wind Through the Keyhole,Stephen King,,(The Dark Tower #4.5),4.15,322,58897,4815,Kindle Edition,April 24th 2012,Scribner
116,Fear Nothing,Dean Koontz,0553579754,(Moonlight Bay #1),3.99,448,33051,969,Paperback,December 1st 1998,Bantam Books
117,"The Walking Dead, Vol. 9: Here We Remain",Robert Kirkman,1607060221,(The Walking Dead (Collected Editions) #9),4.25,136,16134,601,Comics,January 21st 2009,Image Comics
118,Suffer the Children,John Saul,044018293X,,3.91,378,27961,333,Paperback,July 1st 1989,Dell
119,Dark Matter,Michelle Paver,1409123782,,3.96,246,8687,1214,Hardcover,October 21st 2010,Orion
120,The Rising,Brian Keene,0843952016,(The Rising #1),3.78,321,8761,611,Paperback,January 1st 2004,Leisure Books
121,Those Across the River,Christopher Buehlman,0441020674,,3.64,357,5581,972,Hardcover,September 6th 2011,Ace Books
122,"Chilling Adventures of Sabrina, Vol. 1: The Crucible",Roberto Aguirre-Sacasa,1627389873,(Chilling Adventures of Sabrina #1),3.99,160,8384,1282,Paperback,August 16th 2016,Archie Comics
123,The Halloween Tree,Ray Bradbury,0375803017,,3.85,145,16656,1892,Paperback,September 7th 1999,Yearling
124,The Fisherman,John  Langan,1939905214,,3.98,266,4253,705,Paperback,June 30th 2016,Word Horde
125,A Winter Haunting,Dan Simmons,0380817160,(Seasons of Horror #2),3.60,371,6584,521,Paperback,December 31st 2002,HarperTorch
126,The Merciless,Danielle Vega,1595147225,(The Merciless #1),3.61,279,11349,2323,Hardcover,June 12th 2014,Razorbill
127,Velocity,Dean Koontz,0553588257,,3.86,460,54832,1787,Mass Market Paperback,April 25th 2006,Bantam
128,Cold Fire,Dean Koontz,0425199584,,3.77,448,20904,533,Paperback,December 7th 2004,Berkley
129,The Shining Girls,Lauren Beukes,0316216852,,3.50,368,36004,4888,Hardcover,June 4th 2013,Mulholland Books
130,Harvest Home,Thomas Tryon,0394485289,,3.88,401,6156,554,Hardcover,May 12th 1973,Knopf
131,Dark Harvest,Norman Partridge,076531911X,,3.68,169,3853,469,Paperback,September 4th 2007,Tor Books
132,The Screaming Staircase,Jonathan Stroud,0857532014,(Lockwood & Co. #1),4.21,440,27363,4069,Hardcover,August 29th 2013,Doubleday Children’s Books
133,I Hunt Killers,Barry Lyga,0316125849,(I Hunt Killers #1),4.02,359,31059,3785,Hardcover,April 3rd 2012,"Little, Brown and Company"
134,The Doll's House,Neil Gaiman,1563892251,(The Sandman #2),4.44,232,70892,2235,Hardcover,March 10th 1999,Vertigo
135,"The Walking Dead, Vol. 10: What We Become",Robert Kirkman,1607060752,(The Walking Dead (Collected Editions) #10),4.28,136,16158,543,Comics,August 12th 2009,Image Comics
136,Darkhouse,Karina Halle,1461079853,(Experiment in Terror #1),3.78,346,14476,1664,Paperback,March 10th 2012,Metal Blonde Books
137,More Scary Stories to Tell in the Dark,Alvin Schwartz,0397320825,(Scary Stories #2),4.15,100,11398,563,Hardcover,August 21st 2001,Harpercoll
138,Acceptance,Jeff VanderMeer,0374104115,(Southern Reach #3),3.57,341,36454,3986,Paperback,September 2nd 2014,"Farrar, Straus and Giroux"
139,City of Night,Dean Koontz,0739317148,(Dean Koontz's Frankenstein #2),3.97,480,20303,809,Audio CD,July 26th 2005,Random House Audio
140,The Shadow Over Innsmouth,H.P. Lovecraft,1450562795,,4.14,158,8335,633,Paperback,April 1936,Visionary Publishing Company
141,Twilight,Stephenie Meyer,0316015849,(Twilight  #1),3.59,498,4445100,99244,Paperback,September 6th 2006,"Little, Brown and Company"
142,This is Not a Test,Courtney Summers,0312656742,(This is Not a Test #1),3.85,326,12936,2322,Paperback,June 19th 2012,St. Martin's Griffin
143,Night of the Living Dummy,R.L. Stine,0439568404,(Goosebumps #7),3.83,134,21148,985,Paperback,September 1st 2003,Scholastic
144,Rolling in the Deep,Mira Grant,159606708X,(Rolling in the Deep 0.5),4.02,123,3349,663,Hardcover,April 6th 2015,Subterranean Press
145,The Scarlet Gospels,Clive Barker,1250055806,,3.47,361,6404,1026,Hardcover,May 19th 2015,St. Martin's Press
146,The Changeling,Victor LaValle,0812995945,,3.80,431,9303,1656,Hardcover,June 13th 2017,Spiegel & Grau
147,Rise of the Governor,Robert Kirkman,0312547730,(The Walking Dead (Novels) #1),3.90,308,17538,1794,Hardcover,October 11th 2011,Thomas Dunne Books
148,Lord Loss,Darren Shan,0316012335,(The Demonata #1),4.22,224,18669,1265,Paperback,May 10th 2006,"Little, Brown Young Readers"
149,The Cellar,Richard Laymon,0843957484,(Beast House Chronicles #1),3.67,309,6326,415,Paperback,October 1st 2006,Leisure Books
150,They Thirst,Robert R. McCammon,0913165603,,3.90,412,10387,336,Hardcover,June 1991,Dark Harvest
151,Servant of the Bones,Anne Rice,0963192566,,3.71,416,27336,478,Hardcover,March 1999,
152,Burnt Offerings,Robert Marasco,0440009286,,3.81,246,4579,406,Hardcover,1973,Delacorte Press
153,The Last Werewolf,Glen Duncan,,(The Last Werewolf / Bloodlines Trilogy #1),3.47,353,14297,2469,Kindle Edition,July 12th 2011,Vintage
154,"The Walking Dead, Vol. 11: Fear the Hunters",Robert Kirkman,1607061228,(The Walking Dead (Collected Editions) #11),4.32,136,16328,607,Comics,January 6th 2010,Image Comics
155,Elevation,Stephen King,1982102314,,3.69,146,46580,6703,Hardcover,October 30th 2018,Scribner
156,Dark Places,Gillian Flynn,0307341569,,3.93,349,492698,32721,Hardcover,May 5th 2009,Shaye Areheart Books
157,"The Walking Dead, Book One",Robert Kirkman,1582406197,(The Walking Dead (Hardcover Edition) #1),4.35,304,34233,1355,Hardcover,October 5th 2010,Image Comics
158,Books of Blood: Volume Two,Clive Barker,,(Books of Blood #2),4.11,193,9363,217,Mass Market Paperback,September 1986,Berkley Books
159,The Complete Works of H.P. Lovecraft,H.P. Lovecraft,,,4.35,1305,13140,326,Kindle Edition,March 1st 2011,CthulhuChick.com
160,The Child Thief,Brom,0061671339,,4.09,476,13161,1976,Hardcover,August 25th 2009,Harper Voyager
161,Mr. Murder,Dean Koontz,0425210758,,3.74,493,22892,556,Paperback,July 5th 2006,Berkley
162,Dragon Tears,Dean Koontz,0425208435,,3.73,432,19896,487,Paperback,February 7th 2006,Berkley
163,Kill Creek,Scott   Thomas,1942645821,,3.87,416,4139,789,Paperback,October 31st 2017,Inkshares
164,White is for Witching,Helen Oyeyemi,0330458140,,3.60,244,5560,911,ebook,June 1st 2009,Picador USA
165,Roadwork,Richard Bachman,0451197879,,3.58,320,23620,840,Mass Market Paperback,June 1st 1999,Signet
166,Shutter Island,Dennis Lehane,038073186X,,4.09,369,142853,7736,Mass Market Paperback,April 27th 2004,HarperTorch
167,H.P. Lovecraft:  The Complete Fiction,H.P. Lovecraft,1435122968,,4.36,1098,8559,265,Leather Bound,March 18th 2011,Barnes & Noble
168,Say Cheese and Die!,R.L. Stine,0439568420,(Goosebumps #4),3.75,144,19312,707,Mass Market Paperback,September 1st 2003,Scholastic
169,Coldheart Canyon,Clive Barker,006103018X,,3.67,686,6833,399,Paperback,November 5th 2002,HarperTorch
170,"The Walking Dead, Vol. 13: Too Far Gone",Robert Kirkman,1607063298,(The Walking Dead (Collected Editions) #13),4.22,136,13384,486,Comics,November 23rd 2010,Image Comics
171,"Vittorio, The Vampire",Anne Rice,5559609129,(New Tales of the Vampires #2),3.51,352,25135,451,Hardcover,by Alfred A. Knopf,
172,We Sold Our Souls,Grady Hendrix,,,3.94,337,3167,746,Kindle Edition,September 18th 2018,Quirk Books
173,Neverwhere,Neil Gaiman,0060557818,"(London Below,  The World of Neverwhere #1)",4.18,370,375462,19939,Paperback,September 2nd 2003,William Morrow Paperbacks
174,A Clockwork Orange,Anthony Burgess,0393341763,,3.99,240,535561,12009,Paperback,May 21st 2019,W. W. Norton
175,Bad Girls Don't Die,Katie Alender,1423108760,(Bad Girls Don't Die #1),4.05,346,24766,2593,Hardcover,April 21st 2009,Disney-Hyperion
176,"The Walking Dead, Vol. 12: Life Among Them",Robert Kirkman,1607062542,(The Walking Dead (Collected Editions) #12),4.32,148,18221,522,Comics,July 21st 2010,Image Comics
177,Circus of the Damned,Laurell K. Hamilton,0425201392,"(Anita Blake, Vampire Hunter #3)",4.17,320,84666,1550,Paperback,January 2nd 2007,Berkley
178,The House Next Door,Anne Rivers Siddons,0061008737,,3.84,352,7940,615,Mass Market Paperback,February 1st 1995,HarperTorch
179,Odd Hours,Dean Koontz,0553807056,(Odd Thomas #4),3.94,283,40058,2225,Hardcover,May 23rd 2008,Bantam
180,From the Corner of His Eye,Dean Koontz,0553582747,,4.02,729,27453,1143,Paperback,November 20th 2001,Bantam
181,Night Watch,Sergei Lukyanenko,1401359795,(Дозоры #1),3.98,455,37642,2058,Paperback,July 1st 2006,Miramax Books
182,Sharp Objects,Gillian Flynn,,,3.95,254,530064,38605,Paperback,2006,Broadway Paperbacks
183,The Atrocity Archives,Charles Stross,0441013651,(Laundry Files #1),3.92,345,19257,1640,Paperback,January 2006,Ace
184,"Nightmare At 20,000 Feet",Richard Matheson,0312878273,,4.08,336,6765,327,Paperback,January 5th 2002,Tor Books
185,77 Shadow Street,Dean R. Koontz,0553807714,(77 Shadow Street #1),3.31,451,17936,2108,Hardcover,December 27th 2011,Bantam
186,Harbor,John Ajvide Lindqvist,0312680279,,3.65,500,5920,667,Hardcover,October 11th 2011,Thomas Dunne Books
187,Drood,Dan Simmons,0316007021,,3.49,775,13615,1986,Hardcover,February 1st 2009,Little Brown and Company
188,Her Body and Other Parties,Carmen Maria Machado,155597788X,,3.90,248,23012,3631,Paperback,October 3rd 2017,Graywolf Press
189,The Castle of Otranto,Horace Walpole,0192834401,,3.18,125,19907,1667,Paperback,July 16th 1998,Oxford University Press
190,The Traveling Vampire Show,Richard Laymon,0843948507,,3.85,391,7159,416,Mass Market Paperback,March 1st 2001,Leisure Books
191,Come Closer,Sara Gran,0425210316,,3.59,194,4466,742,Paperback,May 2nd 2006,Berkley Trade
192,Hater,David Moody,031260808X,(Hater #1),3.65,281,9250,854,Paperback,April 13th 2010,St. Martin's Griffin
193,The Replacement,Brenna Yovanoff,1595143378,,3.56,343,18629,2740,Hardcover,September 21st 2010,Razorbill/Penguin Group
194,The Bad Seed,William March,0060795484,,4.06,256,13603,599,Paperback,June 28th 2005,Harper Perennial
195,Lockdown,Alexander Gordon Smith,0374324913,(Escape from Furnace #1),4.11,273,17306,2226,Hardcover,October 27th 2009,"Farrar, Straus and Giroux (Byr)"
196,"30 Days of Night, Vol. 1",Steve Niles,0971977550,(30 Days of Night #1),3.80,104,17449,578,Paperback,March 27th 2007,IDW Publishing
197,The Curse of the Wendigo,Rick Yancey,141698450X,(The Monstrumologist #2),4.17,444,6334,772,Hardcover,October 12th 2010,Simon
198,"Monstress, Vol. 1: Awakening",Marjorie M. Liu,1632157098,(Monstress #1),3.94,235,35362,4163,Paperback,July 19th 2016,Image Comics
199,The Enemy,Charlie Higson,0141325011,(The Enemy #1),4.09,407,20159,2269,Mass Market Paperback,2010,Puffin
200,Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,0380789027,,4.05,365,58641,2576,Mass Market Paperback,August 30th 2005,Avon Books
201,Lisey's Story,Stephen King,0743289412,,3.67,513,62871,3371,Hardcover,October 24th 2006,Scribner
202,Relic,Douglas Preston,0765354942,(Pendergast #1),4.02,480,85182,3101,Paperback,August 1st 2005,Tor Books
203,Off Season,Jack Ketchum,0843956968,(Dead River Series #1),3.83,308,8675,723,Mass Market Paperback,June 2006,Dorchester
204,Four Past Midnight,Stephen King,0450542882,,3.92,930,91262,1296,Mass Market Paperback,1991,New English Library
205,At the Mountains of Madness,H.P. Lovecraft,0812974417,,3.89,224,27802,2096,Paperback,June 14th 2005,Modern Library
206,The Witching Hour,Anne Rice,0099471426,(Lives of the Mayfair Witches #1),4.11,1207,95908,3375,Paperback,November 4th 2004,Arrow
207,Just After Sunset,Stephen King,1416584080,,3.87,539,43628,2411,Hardcover,November 11th 2008,Scribner Book Company
208,Carmilla,J. Sheridan Le Fanu,0809510839,,3.84,108,32991,2377,Paperback,September 5th 2000,Wildside Press
209,"The Walking Dead, Vol. 1: Days Gone Bye",Robert Kirkman,1582406723,(The Walking Dead (Collected Editions) #1),4.27,144,192048,3822,Paperback,February 19th 2013,Image Comics
210,The Ocean at the End of the Lane,Neil Gaiman,0062255657,,4.00,181,420166,43568,Hardcover,June 18th 2013,William Morrow Books
211,Sleeping Beauties,Stephen King,150116340X,,3.74,702,46843,5936,Hardcover,September 26th 2017,Scribner
212,Hannibal,Thomas  Harris,0099297701,(Hannibal Lecter #3),3.75,564,75246,2550,Paperback,May 18th 2000,Arrow
213,Psycho,Robert Bloch,0747545251,(Psycho #1),4.10,208,47289,2015,Paperback,January 31st 1999,Bloomsbury Publishing PLC
214,Mr. Mercedes,Stephen King,1476754454,(Bill Hodges Trilogy #1),3.96,436,197229,15037,Hardcover,June 3rd 2014,Scribner
215,The Tale of the Body Thief,Anne Rice,0345419634,(The Vampire Chronicles #4),3.72,468,76625,1328,Paperback,2005,Ballantine Books
216,The Bazaar of Bad Dreams,Stephen King,1501111671,,3.92,495,39216,4306,Hardcover,November 3rd 2015,Scribner
217,Slade House,David Mitchell,,,3.81,241,44704,6032,Kindle Edition,October 27th 2015,Random House
